Kapasitas_Fungsional,Indikator,Pertanyaan,L1,L2,L3,L4,L5
1.1. Terkait Kaji Ulang RAD GRK /PPRKD,1.1.1. Perda/pergub . Terkait Kaji Ulang RAD GRK /PPRKD,Apakah terdapat regulasi/peraturan . Terkait Kaji Ulang RAD GRK /PPRKD,Tidak ada,Ada aturan terkait yang sudah mengatur sebagian kecil,Sekitar 50 % pasal mengatur tentang Kaji Ulang RAD GRK /PPRKD,Lebih dari 50 % pasal mengatur tentang Kaji Ulang RAD GRK /PPRKD,Terdapat peraturan yang cukup lengkap dan komprehensif
1.2. Tingkat operasionalisasi regulasi Kaji Ulang RAD GRK /PPRKD,1.2.1. Tingkat operasionalisasi regulasi Kaji Ulang RAD GRK /PPRKD,Apakah aturan yang ada cukup operasional menjadi acuan implementasinya ?,Tidak operasional,Sebagian kecil operasioal,Sekitar 50 % pasal mengatur detail operasional,Lebih dari 50 % pasal mengatur detail operasional,Operasional
2.1. Visi Misi,2.1.1. Visi misi daerah terkait Kaji Ulang RAD GRK /PPRKD,Apakah visi dan misi daerah telah menunjukan adanya perhatian terhadap Hasil Kaji Ulang RAD GRK /PPRKD,Tidak ada,Terkait tidak secara secara langsung,Terdapat beberapa kata yang menunjukan kaitan tersebut hanya pada satu misi,Terdapat beberapa kata yang menunjukan kaitan tersebut di beberapa misi,Cukup jelas menyebutkan perhatian terhadap pertumbuhan ekonomi hijau disemua visi dan misinya
2.2. Isu Strategis Pembangunan,2.2.1. Isu Strategis yang menjadi dasar perlunya Kaji Ulang RAD GRK /PPRKD,Apakah terdapat Isu Strategis yang menjadi dasar perlunya Kaji Ulang RAD GRK /PPRKD,Tidak ada,Terdapat satu isu strategis yang relevan,Sekitar 50 % dari isu strategis terkait,Lebih dari 50 % dari isu strategis terkait,Semua Isu memperlihatkan pentingnya Kaji Ulang RAD GRK /PPRKD
2.3. Prioritas Pembangunan Daerah,2.3.1. Prioritas pembangunan terkait pentingnya Kaji Ulang RAD GRK /PPRKD,Apakah prioritas pembangunan memperlihatkan perhatian terhadap implementasi Kaji Ulang RAD GRK /PPRKD?,Tidak ada,Adaanya unsur Kaji Ulang RAD GRK /PPRKD dalam prioritas pembangunan,Sekitar 50 % Prioritas pembangunan menunjukan perhatian utama terhadap hasil Kaji Ulang RAD GRK /PPRKD,Lebih dari 50 % mayoritas Prioritas terkait dengan Kaji Ulang RAD GRK /PPRKD,Seluruh prioritas pembangunan merupakan implementasi Kaji Ulang RAD GRK /PPRKD
2.4. Indikator Pembangunan,2.4.1. Indikator Kaji Ulang RAD GRK /PPRKD,Apakah terdapat indikator terkait hasil Kaji Ulang RAD GRK /PPRKD dalam Indikator pembangunan daerah?,Tidak ada,Beberapa indikator relevan dengan Kaji Ulang RAD GRK /PPRKD,Sekitar 50 % indikator relevan,Lebih 50 % indikator relevan,Semua Indikator relevan dengan hasil Kaji Ulang RAD GRK /PPRKD
2.5. Program dan Kegiatan Pembangunan Daerah,2.5.1. Jumlah Program terkait hasil Kaji Ulang RAD GRK /PPRKD,Apakah program terkait hasil Kaji Ulang RAD GRK /PPRKD sudah di rencanakan dan sudah dilaksanakan ?,Tidak ada,Terdapat program telah direncanakan dan dilaksanakan,Sekitar 50 % program direncanakan dan dilaksanakan,Lebih 50 % program direncanakan dan dilaksanakan,Program pembangunan telah dirancang dan dilaksanakan dalam kerangka Kaji Ulang RAD GRK /PPRKD
2.5. Program dan Kegiatan Pembangunan Daerah,2.5.2. Integrasi diantara Program dan kegiatan,Apakah terdapat integrasi diantara Program/kegiatan Kaji Ulang RAD GRK /PPRKD dengan kegiatan pembangunan?,Tidak ada,Terdapat setidaknya 1 integrasi,Sekitar 50 % terintegrasi,Lebih 50 % terintegrasi,Terintegrasi secara sekeluruhan
3.1. Pelaksanaan Kaji Ulang RAD GRK /PPRKD,3.1.1. Proses pelaksanaan Kaji Ulang RAD GRK /PPRKD,Sejauh mana Kaji Ulang RAD GRK /PPRKD?,Belum dilaksanakan,Penyusunan Awal,Draft 0 sektor,Dalam tahap pengesahan,Telah memiliki dokumen Kaji Ulang RAD GRK /PPRKD
3.2. Kerjasama lembaga Pelaksanaan Kaji Ulang RAD GRK /PPRKD,3.2.1. Penunjukkan OPD/lembaga/kelompok kerja yang mengawal atau melakukan Kaji Ulang RAD GRK /PPRKD,Apakah terdapat SKPD/lembaga/kelompok kerja yang bertanggung jawab dalam Kaji Ulang RAD GRK /PPRKD?,Tidak ada,Dikerjakan oleh konsultan,Dilakukan oleh beberapa orang,Dilakukan oleh OPD yang sesuai tugas dan fungsinya,Dilakukan oleh OPD yang sesuai tugas dan fungsinya dengan pelibatan parapihak melalui Pokja
